web-scraper-order,web-scraper-start-url,date - time,team1,team2,result (team1 - team2),lineups,lineups-href,team1 player1,attendance,place,round,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3
"1676818276-1715","https://www.flashscore.com/match/ClJhVvQk/#/match-summary","29.03.2014 20:00","Celta Vigo","Sevilla","1-0Finished","Lineups","https://www.flashscore.com/match/ClJhVvQk/#/match-summary/lineups","Charles","null","Estadio de Balaídos (Vigo)","LaLiga - Round 31","Fernandez A.","Fontas A.","Jonny","Krohn-Dehli M.","Lopez A.","Lopez I.","Mallo H. (C)","Nolito","Rafinha","Yoel (G)","null","null","null","Bacca C.","Coke","Fazio F.","Gameiro K.","Iborra V.","Navarro F.","Pareja N.","Rakitic I. (C)","Trochowski P.","Varas J. (G)","Vitolo","null","null","null"
"1676818285-1716","https://www.flashscore.com/match/KjvExNXF/#/match-summary","29.03.2014 22:00","Ath Bilbao","Atl. Madrid","1-2Finished","Lineups","https://www.flashscore.com/match/KjvExNXF/#/match-summary/lineups","Aduriz A.","null","Estadio San Mamés (Bilbao)","LaLiga - Round 31","Balenziaga M.","de Marcos O.","Iraizoz G. (G)","Iraola A. (C)","Iturraspe A.","Laporte A.","Muniain I.","Rico M.","San Jose M.","Susaeta M.","null","null","null","Costa D.","Courtois T. (G)","Filipe Luis","Gabi (C)","Garcia R.","Godin D.","Juanfran","Koke","Miranda","Sosa J.","Suarez M.","null","null","null"
"1676818293-1717","https://www.flashscore.com/match/fD8cUbud/#/match-summary","30.03.2014 00:00","Real Madrid","Rayo Vallecano","5-0Finished","Lineups","https://www.flashscore.com/match/fD8cUbud/#/match-summary/lineups","Alonso X.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 31","Bale G.","Benzema K.","Carvajal D.","Coentrao F.","Di Maria A.","Illarramendi A.","Lopez D. (G)","Pepe","Ramos S. (C)","Ronaldo C.","null","null","null","Arbilla A.","Bueno","Falque I.","Larrivey J.","Lopez B.","Niguez S.","Rat R.","Rochina R.","Ruben (G)","Trashorras R. (C)","Ze Castro","null","null","null"
"1676818302-1718","https://www.flashscore.com/match/61Frh2X2/#/match-summary","30.03.2014 13:00","Valladolid","Almeria","1-0Finished","Lineups","https://www.flashscore.com/match/61Frh2X2/#/match-summary/lineups","Gonzalez O.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 31","Guerra J.","Jaime (G)","Larsson D.","Manucho","Pena C.","Perez V.","Rubio A. (C)","Rueda J.","Rukavina A.","Valiente M.","null","null","null","Corona (C)","Diaz O.","Esteban (G)","Mane","Rafita","Soriano F.","Suso","Tebar M.","Torsiglieri M.","Trujillo A.","Vidal A.","null","null","null"
"1676818311-1719","https://www.flashscore.com/match/hbR0TIf2/#/match-summary","30.03.2014 18:00","Osasuna","Real Sociedad","1-1Finished","Lineups","https://www.flashscore.com/match/hbR0TIf2/#/match-summary/lineups","Armenteros E.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 31","Arribas A.","Bertran M.","Cejudo A.","Damia (C)","Fernandez A. (G)","Loe R.","Loties J.","Riera O.","Silva F.","Torres R.","null","null","null","Agirretxe I.","Bergara M.","Bravo C. (G)","Castro Irizábal G.","de La Bella A.","Elustondo G.","Gonzalez M. (C)","Martinez C.","Martinez I.","Vela C.","Zurutuza D.","null","null","null"
"1676818319-1720","https://www.flashscore.com/match/6mzAw3I9/#/match-summary","30.03.2014 20:00","Villarreal","Elche","1-1Finished","Lineups","https://www.flashscore.com/match/6mzAw3I9/#/match-summary/lineups","Asenjo S. (G)","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 31","Bruno (C)","Cani","Costa J.","Gabriel Paulista","Gomez M.","Mario Gaspar","Pantic A.","Perbet J.","Pereira J.","Pina T.","null","null","null","Botia A.","Cisma D.","Coro (C)","Fidel","Herrera C.","Herrera M. (G)","Marquez J.","Pelegrin S.","Perez R.","Sanchez C.","Suarez D.","null","null","null"
"1676818328-1721","https://www.flashscore.com/match/CQz6vq33/#/match-summary","30.03.2014 22:00","Valencia","Getafe","1-3Finished","Lineups","https://www.flashscore.com/match/CQz6vq33/#/match-summary/lineups","Barragan A.","null","Estadio de Mestalla (Valencia)","LaLiga - Round 31","Bernat J.","Cartabia F.","Eduardo Vargas","Fuego J.","Guaita V. (G)","Jonas","Mathieu J. (C)","Parejo D.","Romeu O.","Senderos P.","null","null","null","Arroyo A.","Borja","Codina J. (G)","Escudero S.","Lafita A.","Leon P.","Lopez L.","Marica C.","Mosquera P.","Rafa (C)","Rodriguez J.","null","null","null"
"1676818337-1722","https://www.flashscore.com/match/2FTIysmM/#/match-summary","31.03.2014 21:00","Granada CF","Levante","0-2Finished","Lineups","https://www.flashscore.com/match/2FTIysmM/#/match-summary/lineups","Angulo B.","null","Estadio Nuevo Los Cármenes (Granada)","LaLiga - Round 31","Brahimi Y.","Coeff A.","El Arabi Y.","Fernandez R. (G)","Iturra M.","Murillo J.","Nyom A.","Recio","Rico F. (C)","Riki","null","null","null","Barral D.","Casadesus V.","Diop P.","El Adoua I.","Garcia R.","Ivanschitz A.","Juanfran (C)","Navarro D.","Navas K. (G)","Simao","Vyntra L.","null","null","null"
"1676818345-1723","https://www.flashscore.com/match/t6SMz12S/#/match-summary","31.03.2014 23:00","Betis","Malaga","1-2Finished","Lineups","https://www.flashscore.com/match/t6SMz12S/#/match-summary/lineups","Adan A. (G)","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 31","Castro R.","Chica F.","Figueras J.","Juanfran","Juankar","Leo Baptistao","Molina J. (C)","N'Diaye A.","Paulao","Reyes L.","null","null","null","Amrabat N.","Antunes V.","Caballero W. (G)","Camacho I.","Darder S.","Ferreira F.","Gamez J. (C)","Portillo F.","Samuel","Sanchez S.","Santa C. R.","null","null","null"
"1676818354-1724","https://www.flashscore.com/match/KYprtdv8/#/match-summary","04.04.2014 22:00","Almeria","Osasuna","1-2Finished","Lineups","https://www.flashscore.com/match/KYprtdv8/#/match-summary/lineups","Corona (C)","null","Estadio de los Juegos Mediterráneos (Almería)","LaLiga - Round 32","Diaz O.","Esteban (G)","Mane","Rafita","Silva M.","Soriano F.","Suso","Trujillo A.","Verza","Vidal A.","null","null","null","Arribas A.","Bertran M.","Cejudo A.","Damia (C)","de las Cuevas M.","Fernandez A. (G)","Flano M.","Loe R.","Riera O.","Silva F.","Torres R.","null","null","null"
"1676818363-1725","https://www.flashscore.com/match/2T8ijt2F/#/match-summary","05.04.2014 17:00","Atl. Madrid","Villarreal","1-0Finished","Lineups","https://www.flashscore.com/match/2T8ijt2F/#/match-summary/lineups","Alderweireld T.","null","Estadio Vicente Calderón (Madrid)","LaLiga - Round 32","Courtois T. (G)","Diego","Filipe Luis","Garcia R. (C)","Godin D.","Juanfran","Koke","Rodriguez C.","Suarez M.","Villa D.","null","null","null","Asenjo S. (G)","Bruno (C)","Cani","Gabriel Paulista","Goku","Jokic B.","Mario Gaspar","Pantic A.","Perbet J.","Pina T.","Trigueros M.","null","null","null"
"1676818372-1726","https://www.flashscore.com/match/C2bRqvuq/#/match-summary","05.04.2014 19:00","Barcelona","Betis","3-1Finished","Lineups","https://www.flashscore.com/match/C2bRqvuq/#/match-summary/lineups","Adriano","null","Camp Nou (Barcelona)","LaLiga - Round 32","Bartra M.","Busquets S.","Dani Alves","Iniesta A.","Mascherano J.","Messi L.","Pedro","Pinto J. M. (G)","Sanchez A.","Xavi (C)","null","null","null","Adan A. (G)","Amaya A. (C)","Cedrick","Figueras J.","Juanfran","Juankar","Leo Baptistao","N'Diaye A.","Nono","Reyes L.","Vadillo A.","null","null","null"
"1676818380-1727","https://www.flashscore.com/match/trnvsxP1/#/match-summary","05.04.2014 21:00","Real Sociedad","Real Madrid","0-4Finished","Lineups","https://www.flashscore.com/match/trnvsxP1/#/match-summary/lineups","Bergara M.","null","Reale Arena (San Sebastian)","LaLiga - Round 32","Bravo C. (G)","Canales S.","Cote","Elustondo G.","Gonzalez M. (C)","Griezmann A.","Martinez C.","Martinez I.","Vela C.","Zurutuza D.","null","null","null","Alonso X.","Bale G.","Benzema K.","Carvajal D.","Fernandez N.","Illarramendi A.","Isco","Lopez D. (G)","Modric L.","Pepe","Ramos S. (C)","null","null","null"
"1676818388-1728","https://www.flashscore.com/match/YHnzrI9e/#/match-summary","05.04.2014 23:00","Rayo Vallecano","Celta Vigo","3-0Finished","Lineups","https://www.flashscore.com/match/YHnzrI9e/#/match-summary/lineups","Arbilla A.","null","Campo de Futbol de Vallecas (Madrid)","LaLiga - Round 32","Bueno","Falque I.","Galvez A.","Larrivey J.","Niguez S.","Rat R.","Rochina R.","Ruben (G)","Trashorras R. (C)","Ze Castro","null","null","null","Charles","Fernandez A.","Fontas A.","Jonny","Krohn-Dehli M.","Lopez I.","Mallo H. (C)","Nolito","Orellana F.","Rafinha","Yoel (G)","null","null","null"
"1676818397-1729","https://www.flashscore.com/match/zs7alKWR/#/match-summary","06.04.2014 13:00","Malaga","Granada CF","4-1Finished","Lineups","https://www.flashscore.com/match/zs7alKWR/#/match-summary/lineups","Amrabat N.","null","Estadio La Rosaleda (Málaga)","LaLiga - Round 32","Angeleri M.","Antunes V.","Caballero W. (G) (C)","Camacho I.","Darder S.","Ferreira F.","Gamez J.","Perez P.","Samuel","Santa C. R.","null","null","null","Angulo B.","Brahimi Y.","El Arabi Y.","Fatau M.","Fernandez R. (G)","Ilori T.","Iturra M.","Murillo J.","Nyom A.","Rico F. (C)","Riki","null","null","null"
"1676818406-1730","https://www.flashscore.com/match/phEniMn9/#/match-summary","06.04.2014 18:00","Elche","Getafe","1-0Finished","Lineups","https://www.flashscore.com/match/phEniMn9/#/match-summary/lineups","Botia A.","null","Estadio Manuel Martínez Valero (Elche)","LaLiga - Round 32","Cisma D.","Coro","Gil C.","Herrera C.","Herrera M. (G)","Pelegrin S. (C)","Perez R.","Rodrigues G.","Sanchez C.","Suarez D.","null","null","null","Alexis (C)","Arroyo A.","Borja","Codina J. (G)","Lacen M.","Lafita A.","Leon P.","Lopez L.","Marica C.","Rafa","Rodriguez J.","null","null","null"
"1676818415-1731","https://www.flashscore.com/match/fRmWrbfk/#/match-summary","06.04.2014 20:00","Sevilla","Espanyol","4-1Finished","Lineups","https://www.flashscore.com/match/fRmWrbfk/#/match-summary/lineups","Bacca C.","null","Estadio Ramón Sánchez Pizjuán (Sevilla)","LaLiga - Round 32","Beto (G)","Fazio F. (C)","Figueiras D.","Gameiro K.","Iborra V.","Mbia S.","Moreno A.","Pareja N.","Trochowski P.","Vitolo","null","null","null","Abraham","Fuentes J. R.","Garcia S. (C)","Lopez D.","Lopez J.","Parreno G. (G)","Pizzi","Rodriguez R.","Sidnei","Simao","Stuani C.","null","null","null"
"1676818423-1732","https://www.flashscore.com/match/I9MzsKv8/#/match-summary","06.04.2014 22:00","Valladolid","Valencia","0-0Finished","Lineups","https://www.flashscore.com/match/I9MzsKv8/#/match-summary/lineups","Gonzalez O.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 32","Guerra J.","Jaime (G)","Larsson D.","Manucho","Pena C.","Perez V.","Rubio A. (C)","Rueda J.","Rukavina A.","Valiente M.","null","null","null","Alcacer P.","Bernat J.","Cartabia F.","Eduardo Vargas","Feghouli S.","Fuego J.","Guaita V. (G) (C)","Keita S.","Parejo D.","Pereira J.","Vezo R.","null","null","null"
"1676818432-1733","https://www.flashscore.com/match/tK7ek0HL/#/match-summary","07.04.2014 23:00","Levante","Ath Bilbao","1-2Finished","Lineups","https://www.flashscore.com/match/tK7ek0HL/#/match-summary/lineups","Barral D.","null","Estadi Ciutat de València (Valencia)","LaLiga - Round 32","Casadesus V.","Diop P.","El Adoua I.","Garcia R.","Juanfran (C)","Navas K. (G)","Rodas H.","Simao","Vyntra L.","Xumetra J.","null","null","null","Aduriz A.","Balenziaga M.","de Marcos O.","Etxeita X.","Herrera A.","Iraizoz G. (G) (C)","Iturraspe A.","Muniain I.","Rico M.","San Jose M.","Susaeta M.","null","null","null"
"1676818441-1734","https://www.flashscore.com/match/EgRJtBpP/#/match-summary","11.04.2014 22:00","Osasuna","Valladolid","0-0Finished","Lineups","https://www.flashscore.com/match/EgRJtBpP/#/match-summary/lineups","Arribas A.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 33","Bertran M.","Cejudo A.","Damia","de las Cuevas M.","Fernandez A. (G)","Flano M. (C)","Loe R.","Riera O.","Silva F.","Torres R.","null","null","null","Bergdich Z.","Gonzalez O.","Guerra J.","Jaime (G)","Larsson D.","Mitrovic S.","Pena C.","Perez V.","Rubio A. (C)","Rueda J.","Rukavina A.","null","null","null"
"1676818449-1735","https://www.flashscore.com/match/nmZXI7hI/#/match-summary","12.04.2014 17:00","Celta Vigo","Real Sociedad","2-2Finished","Lineups","https://www.flashscore.com/match/nmZXI7hI/#/match-summary/lineups","Aurtenetxe J.","null","Estadio de Balaídos (Vigo)","LaLiga - Round 33","Bermejo M.","Cabral G.","Fernandez A.","Fontas A.","Jonny","Krohn-Dehli M.","Mallo H. (C)","Nolito","Rafinha","Yoel (G)","null","null","null","Agirretxe I.","Bergara M.","Bravo C. (G)","Canales S.","Cote","Gonzalez M. (C)","Griezmann A.","Martinez I.","Vela C.","Zaldua J.","Zurutuza D.","null","null","null"
"1676818458-1736","https://www.flashscore.com/match/2amCNVwm/#/match-summary","12.04.2014 19:00","Villarreal","Levante","1-0Finished","Lineups","https://www.flashscore.com/match/2amCNVwm/#/match-summary/lineups","Asenjo S. (G)","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 33","Bruno (C)","Cani","Costa J.","Mario Gaspar","Musacchio M.","Pantic A.","Perbet J.","Pereira J.","Pina T.","Torres O.","null","null","null","Baba","Casadesus V.","Diop P.","Garcia R.","Juanfran (C)","Karabelas N.","Lopez P.","Navarro D.","Navas K. (G)","Simao","Vyntra L.","null","null","null"
"1676818467-1737","https://www.flashscore.com/match/bRtLL98a/#/match-summary","12.04.2014 21:00","Granada CF","Barcelona","1-0Finished","Lineups","https://www.flashscore.com/match/bRtLL98a/#/match-summary/lineups","Brahimi Y.","null","Estadio Nuevo Los Cármenes (Granada)","LaLiga - Round 33","El Arabi Y.","Foulquier D.","Ilori T.","Iturra M.","Karnezis O. (G)","Murillo J.","Nyom A. (C)","Piti","Recio","Rico F.","null","null","null","Adriano","Busquets S.","Fabregas C.","Iniesta A. (C)","Mascherano J.","Messi L.","Montoya M.","Neymar","Pedro","Pinto J. M. (G)","Song A.","null","null","null"
"1676818475-1738","https://www.flashscore.com/match/QwYyIR7O/#/match-summary","12.04.2014 23:00","Real Madrid","Almeria","4-0Finished","Lineups","https://www.flashscore.com/match/QwYyIR7O/#/match-summary/lineups","Bale G.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 33","Benzema K.","Coentrao F.","Di Maria A.","Fernandez N.","Illarramendi A.","Isco","Lopez D. (G)","Modric L.","Pepe (C)","Varane R.","null","null","null","Barbosa H.","Corona (C)","Esteban (G)","Mane","Martinez H.","Nelson","Rodri","Tebar M.","Torsiglieri M.","Verza","Zongo J.","null","null","null"
"1676818484-1739","https://www.flashscore.com/match/hltPKTN5/#/match-summary","13.04.2014 13:00","Betis","Sevilla","0-2Finished","Lineups","https://www.flashscore.com/match/hltPKTN5/#/match-summary/lineups","Adan A. (G)","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 33","Amaya A. (C)","Castro R.","Figueras J.","Juanfran","Juankar","Leo Baptistao","Molina J.","N'Diaye A.","Nono","Vadillo A.","null","null","null","Bacca C.","Beto (G)","Carrico D.","Fazio F. (C)","Figueiras D.","Gameiro K.","Iborra V.","Mbia S.","Moreno A.","Reyes J. A.","Trochowski P.","null","null","null"
"1676818492-1740","https://www.flashscore.com/match/WCQvtvfE/#/match-summary","13.04.2014 18:00","Valencia","Elche","2-1Finished","Lineups","https://www.flashscore.com/match/WCQvtvfE/#/match-summary/lineups","Barragan A.","null","Estadio de Mestalla (Valencia)","LaLiga - Round 33","Bernat J.","Eduardo Vargas","Fuego J.","Guaita V. (G)","Jonas (C)","Michel","Parejo D.","Piatti P.","Romeu O.","Vezo R.","null","null","null","Botia A.","Cisma D.","Coro","Fidel","Herrera C.","Herrera M. (G)","Marquez J.","Pelegrin S. (C)","Perez R.","Sanchez C.","Suarez D.","null","null","null"
"1676818501-1741","https://www.flashscore.com/match/O8l8OBOt/#/match-summary","13.04.2014 20:00","Getafe","Atl. Madrid","0-2Finished","Lineups","https://www.flashscore.com/match/O8l8OBOt/#/match-summary/lineups","Alexis","null","Coliseum Alfonso Perez (Getafe)","LaLiga - Round 33","Arroyo A.","Castro D.","Codina J. (G)","Lafita A.","Lago R.","Leon P.","Marica C.","Mosquera P.","Rafa (C)","Rodriguez J.","null","null","null","Costa D.","Courtois T. (G)","Filipe Luis","Gabi (C)","Garcia R.","Godin D.","Juanfran","Koke","Miranda","Suarez M.","Villa D.","null","null","null"
"1676818510-1742","https://www.flashscore.com/match/4OqTJmwC/#/match-summary","13.04.2014 22:00","Espanyol","Rayo Vallecano","2-2Finished","Lineups","https://www.flashscore.com/match/4OqTJmwC/#/match-summary/lineups","Casilla K. (G)","null","RCDE Stadium (Cornella de Llobregat)","LaLiga - Round 33","Colotto D.","Fuentes J. R.","Garcia S. (C)","Lopez D.","Lopez J.","Pizzi","Sanchez V.","Sidnei","Simao","Stuani C.","null","null","null","Arbilla A.","Bueno","Falque I.","Larrivey J.","Lopez B.","Nacho","Niguez S.","Rochina R.","Ruben (G)","Trashorras R. (C)","Ze Castro","null","null","null"
"1676818518-1743","https://www.flashscore.com/match/KzrHMkgg/#/match-summary","14.04.2014 23:00","Ath Bilbao","Malaga","3-0Finished","Lineups","https://www.flashscore.com/match/KzrHMkgg/#/match-summary/lineups","Aduriz A.","null","Estadio San Mamés (Bilbao)","LaLiga - Round 33","Balenziaga M.","Herrera A.","Iraizoz G. (G) (C)","Iraola A.","Iturraspe A.","Laporte A.","Moran E.","Muniain I.","San Jose M.","Susaeta M.","null","null","null","Amrabat N.","Angeleri M.","Antunes V.","Caballero W. (G) (C)","Camacho I.","Darder S.","Eliseu","Juanmi","Perez P.","Santa C. R.","Weligton","null","null","null"
"1676818527-1744","https://www.flashscore.com/match/G2DoxVht/#/match-summary","18.04.2014 21:30","Atl. Madrid","Elche","2-0Finished","Lineups","https://www.flashscore.com/match/G2DoxVht/#/match-summary/lineups","Adrian","null","Estadio Vicente Calderón (Madrid)","LaLiga - Round 34","Costa D.","Courtois T. (G)","Filipe Luis","Gabi (C)","Godin D.","Juanfran","Koke","Miranda","Tiago","Villa D.","null","null","null","Botia A.","Coro (C)","Gil C.","Herrera C.","Herrera M. (G)","Marquez J.","Pelegrin S.","Rivera A.","Sanchez C.","Sapunaru C.","Suarez D.","null","null","null"
"1676818536-1745","https://www.flashscore.com/match/Or5HklNu/#/match-summary","19.04.2014 17:00","Osasuna","Valencia","1-1Finished","Lineups","https://www.flashscore.com/match/Or5HklNu/#/match-summary/lineups","Arribas A.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 34","Bertran M.","Cejudo A.","Damia","de las Cuevas M.","Fernandez A. (G)","Flano M. (C)","Loe R.","Riera O.","Silva F.","Torres R.","null","null","null","Alcacer P.","Bernat J.","Cartabia F.","Eduardo Vargas","Feghouli S.","Guaita V. (G)","Keita S.","Mathieu J. (C)","Parejo D.","Pereira J.","Vezo R.","null","null","null"
"1676818545-1746","https://www.flashscore.com/match/bR2jyk8n/#/match-summary","19.04.2014 19:00","Levante","Getafe","0-0Finished","Lineups","https://www.flashscore.com/match/bR2jyk8n/#/match-summary/lineups","Barral D.","null","Estadi Ciutat de València (Valencia)","LaLiga - Round 34","Casadesus V.","Diop P.","Garcia R.","Juanfran (C)","Lopez P.","Navarro D.","Navas K. (G)","Simao","Vyntra L.","Xumetra J.","null","null","null","Alexis","Cesar J. (G)","Colunga A.","Escudero S.","Lacen M.","Leon P.","Lopez L.","Marica C.","Rafa (C)","Rodriguez J.","Sarabia P.","null","null","null"
"1676818554-1747","https://www.flashscore.com/match/jez3WQMH/#/match-summary","19.04.2014 21:00","Real Sociedad","Espanyol","2-1Finished","Lineups","https://www.flashscore.com/match/jez3WQMH/#/match-summary/lineups","Agirretxe I.","null","Reale Arena (San Sebastian)","LaLiga - Round 34","Ansotegi I. (C)","Bergara M.","Bravo C. (G)","Canales S.","Castro Irizábal G.","de La Bella A.","Gonzalez M.","Pardo R.","Vela C.","Zaldua J.","null","null","null","Casilla K. (G)","Colotto D.","Cordoba J.","Fuentes J. R.","Garcia S. (C)","Lanzarote M.","Lopez D.","Lopez J.","Sanchez V.","Sidnei","Stuani C.","null","null","null"
"1676818562-1748","https://www.flashscore.com/match/pIZ6VpxO/#/match-summary","20.04.2014 13:00","Almeria","Celta Vigo","2-4Finished","Lineups","https://www.flashscore.com/match/pIZ6VpxO/#/match-summary/lineups","Azeez R.","null","Estadio de los Juegos Mediterráneos (Almería)","LaLiga - Round 34","Esteban (G)","Mane","Nelson","Rodri","Soriano F. (C)","Suso","Tebar M.","Trujillo A.","Verza","Vidal A.","null","null","null","Cabral G.","Charles","Fontas A.","Jonny","Krohn-Dehli M.","Lopez A.","Mallo H. (C)","Nolito","Orellana F.","Rafinha","Yoel (G)","null","null","null"
"1676818571-1749","https://www.flashscore.com/match/C4yaX67B/#/match-summary","20.04.2014 18:00","Rayo Vallecano","Betis","3-1Finished","Lineups","https://www.flashscore.com/match/C4yaX67B/#/match-summary/lineups","Arbilla A.","null","Campo de Futbol de Vallecas (Madrid)","LaLiga - Round 34","Bueno","Falque I.","Galvez A.","Larrivey J.","Nacho","Niguez S.","Rochina R.","Ruben (G)","Trashorras R. (C)","Ze Castro","null","null","null","Adan A. (G)","Castro R.","Chica F.","Juanfran","Leo Baptistao","Molina J. (C)","N'Diaye A.","Nono","Paulao","Perquis D.","Reyes L.","null","null","null"
"1676818580-1750","https://www.flashscore.com/match/pr52Ynh5/#/match-summary","20.04.2014 20:00","Sevilla","Granada CF","4-0Finished","Lineups","https://www.flashscore.com/match/pr52Ynh5/#/match-summary/lineups","Beto (G)","null","Estadio Ramón Sánchez Pizjuán (Sevilla)","LaLiga - Round 34","Carrico D.","Coke","Fazio F.","Gameiro K.","Marin M.","Mbia S.","Navarro F.","Pareja N.","Rakitic I. (C)","Vitolo","null","null","null","Angulo B.","Brahimi Y.","Coeff A.","El Arabi Y.","Ilori T.","Iturra M.","Karnezis O. (G)","Mainz D.","Nyom A. (C)","Piti","Recio","null","null","null"
"1676818588-1751","https://www.flashscore.com/match/6i6bZSxa/#/match-summary","20.04.2014 22:00","Barcelona","Ath Bilbao","2-1Finished","Lineups","https://www.flashscore.com/match/6i6bZSxa/#/match-summary/lineups","Adriano","null","Camp Nou (Barcelona)","LaLiga - Round 34","Bartra M.","Dani Alves","Iniesta A.","Mascherano J.","Messi L.","Pedro","Pinto J. M. (G)","Sanchez A.","Song A.","Xavi (C)","null","null","null","Aduriz A.","Balenziaga M.","de Marcos O.","Herrera A.","Iraizoz G. (G) (C)","Iturraspe A.","Laporte A.","Moran E.","Muniain I.","San Jose M.","Susaeta M.","null","null","null"
"1676818597-1752","https://www.flashscore.com/match/CU6fz9Nh/#/match-summary","21.04.2014 23:00","Malaga","Villarreal","2-0Finished","Lineups","https://www.flashscore.com/match/CU6fz9Nh/#/match-summary/lineups","Amrabat N.","null","Estadio La Rosaleda (Málaga)","LaLiga - Round 34","Angeleri M.","Antunes V.","Caballero W. (G)","Camacho I.","Darder S.","Duda (C)","Ferreira F.","Gamez J.","Samuel","Santa C. R.","null","null","null","Aquino J.","Asenjo S. (G)","Bruno (C)","Cani","Costa J.","Mario Gaspar","Musacchio M.","Pantic A.","Perbet J.","Pina T.","Trigueros M.","null","null","null"
"1676818606-1753","https://www.flashscore.com/match/W88PmSih/#/match-summary","25.04.2014 22:00","Elche","Levante","1-1Finished","Lineups","https://www.flashscore.com/match/W88PmSih/#/match-summary/lineups","Boakye R.","null","Estadio Manuel Martínez Valero (Elche)","LaLiga - Round 35","Botia A.","Cisma D.","Coro (C)","Gil C.","Herrera M. (G)","Marquez J.","Pelegrin S.","Rodrigues G.","Sanchez C.","Suarez D.","null","null","null","Casadesus V.","Diop P.","Garcia R.","Karabelas N.","Lopez P.","Navas K. (G)","Rodas H. (C)","Rodriguez A.","Simao","Vyntra L.","Xumetra J.","null","null","null"
"1676818614-1754","https://www.flashscore.com/match/bLatppiH/#/match-summary","26.04.2014 17:00","Granada CF","Rayo Vallecano","0-3Finished","Lineups","https://www.flashscore.com/match/bLatppiH/#/match-summary/lineups","Angulo B.","null","Estadio Nuevo Los Cármenes (Granada)","LaLiga - Round 35","Brahimi Y.","El Arabi Y.","Ilori T.","Iturra M.","Karnezis O. (G)","Murillo J.","Nyom A.","Piti (C)","Recio","Rico F.","null","null","null","Arbilla A.","Bueno","Falque I.","Galvez A.","Larrivey J.","Nacho","Niguez S.","Rochina R.","Ruben (G)","Trashorras R. (C)","Ze Castro","null","null","null"
"1676818623-1755","https://www.flashscore.com/match/Aa7Tnn7b/#/match-summary","26.04.2014 19:00","Getafe","Malaga","1-0Finished","Lineups","https://www.flashscore.com/match/Aa7Tnn7b/#/match-summary/lineups","Cesar J. (G)","null","Coliseum Alfonso Perez (Getafe)","LaLiga - Round 35","Colunga A.","Escudero S.","Gavilan J. (C)","Lacen M.","Lopez L.","Marica C.","Rafa","Rodriguez J.","Sarabia P.","Valera J.","null","null","null","Angeleri M.","Antunes V.","Caballero W. (G)","Camacho I.","Darder S.","Duda (C)","Ferreira F.","Gamez J.","Portillo F.","Samuel","Santa C. R.","null","null","null"
"1676818631-1756","https://www.flashscore.com/match/AaTb2R6o/#/match-summary","26.04.2014 21:00","Real Madrid","Osasuna","4-0Finished","Lineups","https://www.flashscore.com/match/AaTb2R6o/#/match-summary/lineups","Di Maria A.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 35","Fernandez N.","Illarramendi A.","Isco","Lopez D. (G)","Marcelo","Modric L.","Morata A.","Ramos S. (C)","Ronaldo C.","Varane R.","null","null","null","Armenteros E.","Arribas A.","Cejudo A.","Damia","de las Cuevas M.","Fernandez A. (G)","Flano M.","Loe R.","Oriol J.","Punal F. (C)","Riera O.","null","null","null"
"1676818640-1757","https://www.flashscore.com/match/xCbpq46N/#/match-summary","26.04.2014 23:00","Betis","Real Sociedad","0-1Finished","Lineups","https://www.flashscore.com/match/xCbpq46N/#/match-summary/lineups","Adan A. (G)","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 35","Castro R.","Chica F. (C)","Figueras J.","Garcia J.","Juanfran","Juankar","N'Diaye A.","Perquis D.","Reyes L.","Rodriguez B.","null","null","null","Agirretxe I.","Bergara M.","Bravo C. (G)","Canales S.","de La Bella A.","Gonzalez M. (C)","Griezmann A.","Martinez I.","Vela C.","Zaldua J.","Zurutuza D.","null","null","null"
