team1,team2,team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
Leganes,Sevilla,-2,1,5.855,25.32,10.037,15,6,150,162,1
Betis,Espanyol,6,8,13.225,9.78,31.23,8,14,152,154,1
Real Sociedad,Getafe,-1,-4,23.295,6.56,17.509,15,11,156,144,2
Valencia,Alaves,11,-4,39.805,7.48,35.264,4,16,156,150,1
Dep. La Coruna,Las Palmas,-4,-4,6.645,9.125,18.942,19,18,152,154,0
Levante,Eibar,1,-1,6.185,6.005,16.028,17,9,148,152,1
Sevilla,Barcelona,1,10,25.32,109,37.588,6,1,162,170,0
Las Palmas,Real Madrid,-2,8,9.125,95.535,22.942,18,3,154,172,2
Ath Bilbao,Celta Vigo,-2,1,24.94,17.305,33.657,13,10,158,156,0
Girona,Levante,6,6,8.175,6.185,11.391,7,17,142,148,0
Getafe,Betis,3,5,6.56,13.225,10.628,11,8,144,152,2
Atl. Madrid,Dep. La Coruna,1,-1,71.115,6.645,49.351,2,19,166,152,1
Eibar,Real Sociedad,-1,-2,6.005,23.295,6.233,10,15,152,156,0
Malaga,Villarreal,-4,3,5.52,22,19.142,20,5,154,160,1
Leganes,Valencia,3,10,5.855,39.805,10.697,12,4,150,156,2
Espanyol,Alaves,4,-4,9.78,7.48,15.448,14,16,154,150,0
Villarreal,Ath Bilbao,1,1,22,24.94,14.879,5,13,160,158,2
Valencia,Espanyol,13,3,39.805,9.78,36.296,4,14,156,154,1
Real Sociedad,Girona,1,6,23.295,8.175,18.027,15,8,156,142,1
Real Madrid,Atl. Madrid,13,3,95.535,71.115,78.769,4,2,172,166,0
Levante,Las Palmas,8,-6,6.185,9.125,18.402,17,18,148,154,1
Barcelona,Leganes,11,1,109,5.855,72.126,1,14,170,150,1
Betis,Eibar,8,-2,13.225,6.005,50.194,7,10,152,152,1
Celta Vigo,Sevilla,4,1,17.305,25.32,16.919,9,7,156,162,1
Alaves,Getafe,-4,-4,7.48,6.56,18.241,16,11,150,144,1
Dep. La Coruna,Malaga,-4,1,6.645,5.52,16.932,19,20,152,154,1
Malaga,Real Madrid,-1,11,5.52,95.535,27.112,20,4,154,172,2
Getafe,Espanyol,-4,-1,6.56,9.78,10.593,11,15,144,154,1
Atl. Madrid,Levante,6,11,71.115,6.185,58.043,2,17,166,148,1
Eibar,Alaves,-6,1,6.005,7.48,5.754,11,16,152,150,2
