history points difference,market value difference,audience,table position difference,league titles difference,champions league titles difference,europa league titles difference,Rank difference,result
5,18.295,37.715,-6,7,0,0,3,2
-7,-14.169999999999998,10.531,5,-2,0,0,-1,2
-8,-11.45,10.393,6,0,0,0,-3,1
-2,69.195,69.544,-3,18,5,-1,7,1
-14,-5.049999999999999,11.286,3,-1,0,0,-5,2
20,4.1,45.151,-14,1,0,0,-1,1
6,0.665,17.372,-3,0,0,0,-3,1
12,-0.6950000000000012,18.366,7,0,0,0,4,2
0,-47.81999999999999,21.404,10,-8,0,-2,-5,1
0,3.7749999999999995,12.113,4,0,0,0,1,2
3,33.245,35.829,-8,6,0,1,6,2
-2,16.145,12.556,-8,0,0,1,5,1
-2,18.755000000000003,24.587,-4,8,0,0,5,2
-12,1.6450000000000005,7.143,4,0,0,0,2,2
-14,-17.775,14.102,9,-2,0,0,-1,1
7,-1.6049999999999986,12.313,-9,0,0,0,-6,2
-3,-0.5549999999999997,4.86,3,0,0,0,4,2
-8,-70.215,38.524,4,-32,-12,3,-5,1
7,87.0,54.743,-5,24,5,-1,5,1
13,7.704999999999999,53.163,-15,1,0,0,-1,1
-2,-102.355,25.721,17,-23,-5,0,-9,2
5,-63.635,18.944,11,-10,0,-2,-8,2
-5,4.695,14.135,-4,0,0,1,2,1
0,89.67999999999999,59.905,-12,33,12,2,11,1
7,-1.6450000000000031,23.972,-2,-6,0,0,-1,1
4,-19.134999999999998,17.24,10,-1,0,-5,-7,1
-9,-0.33000000000000096,7.832,-2,0,0,0,1,2
-15,2.5650000000000004,4.624,11,0,0,0,5,2
5,61.334999999999994,49.834,-15,10,0,2,6,2
-5,-1.959999999999999,14.024,5,0,0,0,2,2
6,-17.805,19.079,2,-6,0,0,2,1
-17,11.715000000000002,34.491,11,7,0,0,3,1
0,2.170000000000001,9.706,-3,0,0,0,-5,2
-7,2.025000000000002,34.733,-3,-1,0,5,3,1
5,-102.815,22.384,13,-24,-5,0,-11,1
10,4.259999999999999,15.004,-5,0,0,0,0,1
2,78.22999999999999,56.474,-9,33,12,2,8,1
-7,-15.355,12.885,12,1,0,-1,-4,2
3,-17.46,19.458,-1,-8,0,0,-4,1
12,-64.55499999999999,12.187,6,-10,0,-2,-11,2
2,-31.63,10.85,5,-6,0,-1,-7,2
12,-3.12,5.107,-9,0,0,0,-1,1
7,17.439999999999998,19.981,-5,2,0,0,3,1
1,85.705,82.444,-9,22,5,0,7,1
-15,15.160000000000002,28.492,1,8,0,0,2,2
7,33.16,35.376,-14,5,0,1,2,1
-8,-1.0399999999999991,9.57,12,0,0,0,5,2
0,0.9499999999999993,6.362,7,0,0,0,6,2
-2,17.84,22.513,-6,1,0,5,6,1
-10,-7.37,10.813,11,-1,0,0,-1,1
-17,11.12,10.48,-1,0,0,0,4,1
