team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
1,3,22,5.855,12.556,6,14,160,150,1
1,11,17.305,109,20.347,10,1,156,170,0
5,-1,6.645,25.32,24.374,18,7,152,162,0
3,5,24.94,6.185,24.587,13,17,158,148,2
4,13,71.115,13.225,54.594,2,5,166,152,0
-9,3,9.125,7.48,7.143,19,15,154,150,2
-4,10,5.52,23.295,14.102,20,11,154,156,1
0,-7,8.175,9.78,12.313,8,17,142,154,2
3,1,17.305,39.805,17.316,10,4,156,156,0
0,3,6.005,6.56,4.86,12,9,152,144,2
-4,6,5.855,6.645,10.124,15,18,150,152,1
1,9,25.32,95.535,38.524,7,3,162,172,1
8,1,109,22,54.743,1,6,170,160,1
11,-2,13.225,5.52,53.163,5,20,152,154,1
9,11,6.645,109,25.721,18,1,152,170,2
1,-4,39.805,6.005,40.328,4,12,156,152,0
8,3,7.48,71.115,18.944,13,2,150,166,2
8,-4,6.56,8.175,8.011,8,9,144,142,0
-1,4,22,17.305,14.135,6,10,160,156,1
1,1,95.535,5.855,59.905,3,15,172,150,1
6,-1,23.295,24.94,23.972,12,14,156,158,1
-2,-9,9.78,9.125,13.589,16,19,154,154,0
8,4,6.185,25.32,17.24,17,7,148,162,1
-1,8,5.855,6.185,7.832,15,17,150,148,2
11,6,109,95.535,97.939,1,3,170,172,0
-4,11,9.125,6.56,4.624,19,8,154,144,2
6,1,71.115,9.78,49.834,2,17,166,154,2
-4,1,5.52,7.48,14.024,20,15,154,150,2
5,-1,22,39.805,19.079,6,4,160,156,1
-3,2,17.305,6.645,20.816,11,18,156,152,1
-6,11,24.94,13.225,34.491,16,5,158,152,1
1,1,8.175,6.005,9.706,9,12,142,152,2
1,8,25.32,23.295,34.733,8,11,162,156,1
13,8,6.185,109,22.384,14,1,148,170,1
6,-4,9.78,5.52,15.004,15,20,154,154,1
3,1,95.535,17.305,56.474,3,12,172,156,1
1,8,6.645,22,12.885,18,6,152,160,2
3,0,7.48,24.94,19.458,15,16,150,158,1
4,5,13.225,25.32,55.588,6,7,152,162,0
11,-1,6.56,71.115,12.187,8,2,144,166,2
-1,-3,8.175,39.805,10.85,9,4,142,156,2
6,-6,6.005,9.125,5.107,10,19,152,154,1
1,-6,23.295,5.855,19.981,12,17,156,150,1
4,3,109,23.295,82.444,1,10,170,156,1
5,6,71.115,6.005,63.229,2,9,166,152,1
-4,11,24.94,9.78,28.492,16,15,158,154,2
3,-4,39.805,6.645,35.376,4,18,156,152,1
8,6,22,95.535,18.891,5,3,160,172,0
-4,4,5.52,6.56,9.57,20,8,154,144,2
-6,-6,9.125,8.175,6.362,19,12,154,142,2
6,8,25.32,7.48,22.513,7,13,162,150,1
-7,3,5.855,13.225,10.813,17,6,150,152,1
-4,13,17.305,6.185,10.48,14,15,156,148,1
